location,safety_rating,neighborhood,housing_type,bedrooms,bathrooms,beds,rental_type,cost_per_night,amenities,reviews,id
Boston,3.68,West Roxbury,House,4,2,5,Private room,215,"Pets allowed, Pool, Heating, Self check-in, TV, Washer, Dryer, Kitchen, Hot tub",The place was sparkling clean.; Would definitely stay again,H11
Boston,4.33,Mattapan,Apartment,3,2,6,Private room,185,"Hot tub, Pool, WiFi, Washer, Dedicated workspace, Patio, Kitchen, Dryer, Air conditioning, Pets allowed",Amazing view; Comfortable beds; Host provided great local tips.,H12
Boston,3.63,Downtown,Condo,2,1,4,Entire place,195,"Kitchen, Self check-in, Dryer, Hot tub, Air conditioning, Heating, Free parking, Pets allowed, Gym, TV",Easy check-in process.; Great value for the price.; Quiet street; Host provided great local tips.; Comfortable beds,H13
Boston,4.18,Mission Hill,Apartment,1,1,1,Private room,110,"Air conditioning, WiFi, Pets allowed, Free parking, Gym, Kitchen, TV, Heating, Hot tub",Easy check-in process.; Quiet street; Felt like a home away from home; Spacious and central; Amazing view,H14
Boston,3.87,South End,Condo,2,1,4,Private room,135,"Kitchen, Pets allowed, Free parking, TV, WiFi","Would definitely stay again; Great host, very responsive",H15
Boston,4.01,West Roxbury,Condo,4,1,5,Entire place,305,"Self check-in, Dedicated workspace, TV, WiFi, Gym, Free parking, Pool, Washer",Quiet street; Close to public transport; Great value for the price.,H16
Boston,4.34,Mattapan,Townhouse,3,1,5,Private room,145,"Kitchen, Heating, Self check-in, Pool, Pets allowed, Air conditioning, Hot tub","Would definitely stay again; Felt like a home away from home; Clean and tidy; Great host, very responsive; Quiet street",H17
Boston,4.16,Jamaica Plain,Loft,5,4,9,Shared room,190,"Heating, Pool, Dryer, Free parking, Dedicated workspace, Pets allowed, WiFi",Easy check-in process.; Perfect for a weekend getaway,H18
Boston,3.71,Roslindale,Townhouse,5,3,9,Shared room,165,"Air conditioning, WiFi, Gym, Dedicated workspace",Close to public transport; Spacious and central; Clean and tidy; Would definitely stay again; Amazing view,H19
Boston,4.01,Downtown,Condo,2,1,3,Shared room,70,"TV, Patio, Washer, Self check-in, Pets allowed",Felt like a home away from home; Comfortable beds; Easy check-in process.,H20
Boston,3.68,Roxbury,Townhouse,2,1,3,Shared room,75,"WiFi, Pets allowed, Air conditioning, Washer, Self check-in, Gym, Pool, Kitchen, Dedicated workspace",Would definitely stay again; Comfortable beds; The place was sparkling clean.,H21
Boston,4.53,East Boston,Condo,4,1,6,Private room,190,"Dedicated workspace, Heating, Pets allowed, WiFi, Gym, Hot tub, Pool","Comfortable beds; Easy check-in process.; The place was sparkling clean.; Quiet street; Great host, very responsive",H22
Boston,4.1,Brighton,House,2,1,2,Private room,115,"WiFi, Washer, Pool, Pets allowed, Gym, TV, Air conditioning, Kitchen, Free parking, Patio",Great value for the price.; Perfect for a weekend getaway; Spacious and central; The place was sparkling clean.,H23
Boston,4.73,West Roxbury,Loft,2,1,2,Private room,105,"Self check-in, WiFi, Heating, Pool, Pets allowed, Kitchen, Washer","Spacious and central; Great host, very responsive; Clean and tidy",H24
Boston,4.8,Roxbury,Condo,3,2,6,Private room,170,"Patio, Kitchen, Self check-in, WiFi, TV, Dryer",The place was sparkling clean.; Clean and tidy; Felt like a home away from home; Easy check-in process.,H25
Boston,3.56,Charlestown,House,5,3,7,Shared room,165,"Self check-in, Dedicated workspace, Hot tub, WiFi","Would definitely stay again; Clean and tidy; Felt like a home away from home; Easy check-in process.; Great host, very responsive",H26
Boston,3.55,Downtown,Apartment,1,1,2,Private room,100,"Gym, WiFi, Pets allowed, Air conditioning, Free parking, Dedicated workspace",Perfect for a weekend getaway; Close to public transport; Stylish and modern apartment.; Comfortable beds,H27
Boston,3.58,Allston,Apartment,1,1,1,Entire place,150,"Hot tub, WiFi, Dedicated workspace, Pets allowed, Kitchen, Self check-in, TV, Pool, Air conditioning, Heating",Would definitely stay again; Easy check-in process.; Amazing view; Great value for the price.,H28
Boston,4.13,Chinatown,House,1,1,2,Private room,100,"Dryer, Pets allowed, Hot tub, TV, Free parking, Dedicated workspace",The place was sparkling clean.; Quiet street,H29
Boston,4.41,Back Bay,Condo,3,1,5,Entire place,240,"Dedicated workspace, Pool, Kitchen, TV, Air conditioning",Great value for the price.; Stylish and modern apartment.; Comfortable beds; Host provided great local tips.,H30
Boston,4.54,North End,Apartment,2,1,3,Private room,110,"TV, Self check-in, Air conditioning, Kitchen, Gym, Dryer, Washer, Patio",The place was sparkling clean.; Perfect for a weekend getaway; Clean and tidy,H31
Boston,4.23,North End,Townhouse,1,1,2,Shared room,75,"Heating, Air conditioning, Pool, Pets allowed, TV, Free parking, Washer, Hot tub, Dedicated workspace, Kitchen",Amazing view; Clean and tidy; The place was sparkling clean.; Would definitely stay again,H32
Boston,4.38,Roxbury,Condo,5,2,7,Entire place,385,"Pets allowed, TV, Heating, Dedicated workspace, Hot tub, Gym, Air conditioning, Dryer, Free parking",Comfortable beds; Felt like a home away from home; Clean and tidy; Quiet street,H33
Boston,4.06,Downtown,Apartment,1,1,2,Private room,95,"Dryer, Pool, WiFi, Pets allowed, Gym, Patio, Washer",Great value for the price.; Amazing view,H34
Boston,4.85,South End,Loft,5,2,9,Private room,210,"Pool, Pets allowed, Free parking, Dedicated workspace, Air conditioning, Dryer, Self check-in, Patio, Washer, Kitchen",Host provided great local tips.; Perfect for a weekend getaway; Quiet street; The place was sparkling clean.,H35
Boston,4.36,Roxbury,Townhouse,4,2,7,Entire place,345,"Patio, Pets allowed, TV, Air conditioning, Self check-in, Washer, WiFi, Free parking",Spacious and central; Host provided great local tips.; Close to public transport; Quiet street; The place was sparkling clean.,H36
Boston,3.61,East Boston,House,3,2,3,Shared room,105,"Kitchen, Self check-in, Dedicated workspace, Gym, Heating, TV, WiFi, Air conditioning, Patio, Pets allowed",Felt like a home away from home; Quiet street; Perfect for a weekend getaway,H37
Boston,4.26,Jamaica Plain,Condo,5,3,5,Entire place,420,"Dryer, Gym, Heating, Dedicated workspace, Free parking, Hot tub","Host provided great local tips.; Stylish and modern apartment.; Great host, very responsive; Close to public transport",H38
Boston,3.68,Beacon Hill,Townhouse,4,1,4,Private room,200,"Pets allowed, Dryer, Patio, Self check-in, Free parking, Dedicated workspace, Pool, Washer, Hot tub, Heating",Clean and tidy; Close to public transport,H39
Boston,4.39,Dorchester,Loft,3,2,6,Shared room,125,"Self check-in, Gym, Kitchen, Free parking, Pool, Air conditioning, Dedicated workspace, WiFi, Washer, Heating",Perfect for a weekend getaway; Would definitely stay again; Amazing view; Host provided great local tips.,H40
Boston,4.97,Bay Village,Apartment,4,1,8,Private room,190,"Self check-in, Heating, Dryer, Pets allowed, Hot tub, Free parking, Kitchen, TV, Dedicated workspace",Comfortable beds; Would definitely stay again,H41
Boston,3.62,Dorchester,Apartment,1,1,2,Private room,100,"Free parking, WiFi, Dryer, Pool, Pets allowed, TV",Felt like a home away from home; Clean and tidy; Quiet street,H42
Boston,4.44,Jamaica Plain,Townhouse,3,1,6,Shared room,100,"Kitchen, Free parking, Hot tub, Dryer, WiFi, Patio","Spacious and central; Amazing view; Great host, very responsive",H43
Boston,3.51,South Boston,Apartment,2,1,3,Shared room,85,"Dryer, Pool, Pets allowed, Free parking, Dedicated workspace, Patio",Stylish and modern apartment.; Clean and tidy; Close to public transport; Great value for the price.,H44
Boston,3.56,East Boston,House,4,3,8,Private room,235,"Patio, Washer, Self check-in, WiFi, Kitchen, Pool, TV",The place was sparkling clean.; Stylish and modern apartment.; Quiet street,H45
Boston,3.53,Dorchester,Loft,1,1,1,Private room,105,"Washer, Dedicated workspace, Patio, WiFi, Pool, Free parking, Heating, Hot tub, Pets allowed, Self check-in","Comfortable beds; Great host, very responsive; Spacious and central; Stylish and modern apartment.; Clean and tidy",H46
Boston,4.42,Roslindale,Condo,4,1,6,Shared room,130,"WiFi, Heating, Patio, Air conditioning, Gym, TV, Pool, Kitchen, Washer",Easy check-in process.; Host provided great local tips.; Clean and tidy,H47
Boston,4.79,North End,Apartment,4,2,8,Shared room,125,"WiFi, Kitchen, Pool, Air conditioning, Gym, Self check-in, Pets allowed, Patio",Great value for the price.; Host provided great local tips.; Perfect for a weekend getaway; Clean and tidy,H48
Boston,4.77,Dorchester,Condo,4,3,5,Private room,200,"Washer, Self check-in, Pool, TV, Hot tub",Stylish and modern apartment.; Would definitely stay again; Host provided great local tips.,H49
Boston,3.6,Allston,Apartment,2,1,2,Entire place,190,"TV, Dedicated workspace, Heating, WiFi, Pets allowed, Hot tub, Patio, Pool, Washer",Comfortable beds; Felt like a home away from home; The place was sparkling clean.; Amazing view; Close to public transport,H50
Boston,4.61,Downtown,House,4,3,5,Private room,235,"Kitchen, Pool, Gym, Washer, TV, Patio",Quiet street; Felt like a home away from home; Great value for the price.,H51
Boston,4.08,Mission Hill,Townhouse,2,1,4,Shared room,65,"Pool, Dedicated workspace, Gym, Heating, Dryer",Close to public transport; Amazing view; Host provided great local tips.,H52
Boston,3.77,West End,Condo,2,1,4,Private room,130,"Pool, Air conditioning, Washer, Patio, Self check-in","Stylish and modern apartment.; Great host, very responsive; Quiet street; Great value for the price.; Amazing view",H53
Boston,3.6,North End,Condo,3,2,6,Private room,185,"Patio, Self check-in, Pets allowed, Dedicated workspace, TV, Gym, WiFi, Dryer, Pool","Great host, very responsive; Amazing view; The place was sparkling clean.; Perfect for a weekend getaway",H54
Boston,4.17,Hyde Park,Loft,3,1,5,Private room,150,"Pool, Washer, Kitchen, Hot tub, Dryer, Air conditioning, Gym, Heating, WiFi","Comfortable beds; Quiet street; Great host, very responsive; Would definitely stay again; Amazing view",H55
Boston,4.54,South Boston,Apartment,3,2,3,Private room,160,"Washer, Dryer, Hot tub, Air conditioning","Felt like a home away from home; Spacious and central; Great host, very responsive",H56
Boston,4.77,Brighton,Loft,5,1,6,Shared room,155,"Pool, Dedicated workspace, Patio, Self check-in",Stylish and modern apartment.; Clean and tidy,H57
Boston,4.12,Chinatown,Loft,4,1,8,Shared room,130,"WiFi, Washer, Gym, Pets allowed, Patio, Hot tub",Spacious and central; Quiet street; Felt like a home away from home; Comfortable beds,H58
Boston,3.86,Brighton,Loft,1,1,1,Private room,105,"Dedicated workspace, Patio, TV, Pool, Hot tub, Kitchen, Washer, Free parking, Air conditioning",Easy check-in process.; The place was sparkling clean.; Comfortable beds; Would definitely stay again,H59
Boston,4.31,West End,Condo,3,1,5,Entire place,265,"Pool, TV, Washer, Air conditioning, Self check-in, Patio, Dedicated workspace, Gym, WiFi",Stylish and modern apartment.; Spacious and central,H60
Boston,4.08,South End,Apartment,4,1,4,Shared room,110,"Self check-in, Free parking, Kitchen, Air conditioning","Clean and tidy; Host provided great local tips.; Felt like a home away from home; Great host, very responsive",H61
Boston,3.89,Fenway-Kenmore,Apartment,1,1,2,Entire place,170,"Self check-in, Kitchen, Patio, Dedicated workspace",Quiet street; Felt like a home away from home; Spacious and central; Perfect for a weekend getaway,H62
Boston,4.22,Charlestown,Townhouse,3,1,4,Entire place,245,"Gym, TV, Dryer, Washer, Pets allowed, Patio",Quiet street; Would definitely stay again; Felt like a home away from home,H63
Boston,4.43,Brighton,Loft,5,1,7,Entire place,340,"Gym, Washer, Dryer, Pets allowed, Heating, TV, Hot tub, Pool",Host provided great local tips.; Comfortable beds; Quiet street,H64
Boston,4.47,South Boston,Condo,5,4,6,Private room,240,"Washer, Pets allowed, Heating, Gym",Easy check-in process.; Stylish and modern apartment.; Quiet street; Perfect for a weekend getaway; Spacious and central,H65
Boston,4.9,Dorchester,Apartment,2,1,3,Private room,140,"Hot tub, Self check-in, Air conditioning, TV, Free parking, Gym","Great host, very responsive; Would definitely stay again; Spacious and central",H66
Boston,4.83,Dorchester,Townhouse,5,2,7,Shared room,165,"Self check-in, Pool, Patio, Heating, Kitchen, Air conditioning, Hot tub, WiFi, Washer, Dryer",Stylish and modern apartment.; Spacious and central; Host provided great local tips.; Quiet street; Easy check-in process.,H67
Boston,4.13,South Boston,Loft,5,2,9,Private room,210,"WiFi, Heating, Hot tub, Free parking, Dryer, Patio, Pool",Stylish and modern apartment.; The place was sparkling clean.,H68
Boston,4.25,Brighton,House,3,1,5,Entire place,270,"Washer, Air conditioning, Dedicated workspace, Pool, Heating, Dryer",Close to public transport; Quiet street,H69
Boston,3.76,Roxbury,Condo,2,1,3,Private room,115,"Dedicated workspace, Self check-in, Gym, WiFi, Patio, Heating, Dryer, TV",Easy check-in process.; Would definitely stay again,H70
Boston,3.73,Dorchester,House,4,2,5,Entire place,320,"Free parking, Hot tub, Washer, Dryer, Self check-in, Gym, Heating, Dedicated workspace, Pets allowed",Perfect for a weekend getaway; Comfortable beds; Spacious and central,H71
Boston,4.87,Charlestown,Apartment,3,1,6,Entire place,235,"Kitchen, WiFi, Hot tub, Pets allowed, Dryer, Patio, Gym",Great value for the price.; Stylish and modern apartment.; Close to public transport; The place was sparkling clean.,H72
Boston,4.43,Allston,Apartment,5,4,10,Private room,240,"Self check-in, Patio, Air conditioning, WiFi, Hot tub, Dedicated workspace, Free parking",Easy check-in process.; Stylish and modern apartment.; The place was sparkling clean.; Comfortable beds; Close to public transport,H73
Boston,5.0,Chinatown,Condo,1,1,2,Private room,80,"Pets allowed, Dryer, Pool, Air conditioning",Easy check-in process.; Great value for the price.,H74
Boston,3.69,Chinatown,Apartment,4,3,5,Private room,195,"Self check-in, TV, Dedicated workspace, Free parking, Kitchen","Stylish and modern apartment.; The place was sparkling clean.; Felt like a home away from home; Great host, very responsive",H75
Boston,4.74,Fenway-Kenmore,Apartment,3,1,4,Shared room,90,"Hot tub, WiFi, Patio, Dryer, Air conditioning, TV, Dedicated workspace",Host provided great local tips.; Quiet street; Spacious and central; Close to public transport; Stylish and modern apartment.,H76
Boston,3.71,South Boston,Loft,2,1,2,Shared room,90,"TV, Pets allowed, Air conditioning, Heating, Gym, WiFi, Hot tub, Pool, Dryer",Spacious and central; Perfect for a weekend getaway; Quiet street; Close to public transport; Easy check-in process.,H77
Boston,4.14,Brighton,Townhouse,5,3,8,Shared room,175,"Hot tub, Patio, Free parking, Kitchen, TV, Dedicated workspace, Pets allowed, WiFi, Washer, Heating",Perfect for a weekend getaway; Great value for the price.; The place was sparkling clean.,H78
Boston,4.15,South End,Townhouse,2,1,2,Private room,120,"Hot tub, Kitchen, Washer, Pool, Free parking, Pets allowed, TV, WiFi, Self check-in",Great value for the price.; Close to public transport,H79
Boston,3.62,Beacon Hill,House,3,2,3,Entire place,295,"Heating, Pets allowed, Air conditioning, Self check-in",Great value for the price.; Clean and tidy; Spacious and central,H80
Boston,4.68,North End,Apartment,2,1,4,Entire place,210,"Heating, Patio, Air conditioning, Pool, Free parking, Self check-in, Hot tub, Dedicated workspace, Dryer, WiFi",Spacious and central; The place was sparkling clean.,H81
Boston,4.48,Hyde Park,House,3,1,4,Private room,170,"Self check-in, Pool, Hot tub, Gym, Pets allowed","Spacious and central; Stylish and modern apartment.; Clean and tidy; Quiet street; Great host, very responsive",H82
Boston,4.54,Brighton,Townhouse,2,1,4,Entire place,195,"Air conditioning, Dryer, Gym, Heating","Comfortable beds; Great host, very responsive; Felt like a home away from home",H83
Boston,4.17,Bay Village,House,3,2,5,Private room,175,"Pool, Pets allowed, Patio, Kitchen, Washer",Would definitely stay again; Felt like a home away from home; Quiet street; Clean and tidy,H84
Boston,4.84,Roxbury,House,3,2,6,Entire place,295,"Hot tub, Gym, Patio, Pool, Heating, Washer, Dryer",Close to public transport; Stylish and modern apartment.; Amazing view,H85
Boston,3.99,South End,Loft,2,1,2,Entire place,220,"Self check-in, Pool, Gym, Dedicated workspace, Pets allowed, Air conditioning, Kitchen",Would definitely stay again; Amazing view; Spacious and central; Close to public transport; Easy check-in process.,H86
Boston,3.63,West Roxbury,Apartment,5,2,7,Private room,230,"Kitchen, Hot tub, Free parking, Heating, Pool, Washer, Dedicated workspace, WiFi, Patio, Self check-in",Comfortable beds; Host provided great local tips.; Clean and tidy,H87
Boston,4.21,Mattapan,House,5,3,5,Shared room,150,"Self check-in, Air conditioning, Heating, Gym, Washer",The place was sparkling clean.; Would definitely stay again,H88
Boston,4.75,Beacon Hill,Loft,2,1,4,Shared room,90,"Washer, Free parking, WiFi, Self check-in, Dedicated workspace",Stylish and modern apartment.; The place was sparkling clean.; Quiet street,H89
Boston,4.72,Chinatown,Loft,1,1,1,Shared room,75,"WiFi, Dedicated workspace, Dryer, Patio, TV, Gym, Washer",Amazing view; Spacious and central; Comfortable beds; Host provided great local tips.,H90
Boston,4.31,Dorchester,Condo,3,2,4,Private room,180,"Dedicated workspace, Dryer, Free parking, Self check-in, Patio",Stylish and modern apartment.; Close to public transport; Clean and tidy; Host provided great local tips.,H91
Boston,3.51,North End,Townhouse,3,1,4,Shared room,90,"Kitchen, Hot tub, Gym, Self check-in",Would definitely stay again; Great value for the price.; Easy check-in process.,H92
Boston,3.96,Bay Village,Condo,5,1,10,Entire place,360,"Kitchen, Dedicated workspace, Pets allowed, WiFi, Patio",Quiet street; Perfect for a weekend getaway,H93
Boston,4.66,Roxbury,Loft,2,1,3,Shared room,95,"Kitchen, Pool, Self check-in, Washer, Patio, WiFi, Heating, Dedicated workspace, Gym, Free parking",Host provided great local tips.; Close to public transport; Felt like a home away from home,H94
Boston,4.01,West Roxbury,Condo,2,1,4,Entire place,205,"Kitchen, Washer, Air conditioning, Hot tub, Dryer, Heating, Pets allowed, Pool, Free parking, TV",Quiet street; Amazing view; Comfortable beds,H95
Boston,3.8,Back Bay,Apartment,2,1,2,Shared room,100,"Dedicated workspace, TV, Hot tub, Free parking, Heating, WiFi",Spacious and central; Great value for the price.,H96
Boston,4.11,Dorchester,Townhouse,2,1,4,Entire place,200,"Washer, Free parking, Dryer, TV, Gym, Pool, Kitchen, Heating, Pets allowed, Patio",Host provided great local tips.; Amazing view; The place was sparkling clean.; Comfortable beds,H97
Boston,4.66,East Boston,House,2,1,4,Private room,125,"Free parking, Pool, Air conditioning, Hot tub, Gym, Dryer",The place was sparkling clean.; Close to public transport; Clean and tidy; Great value for the price.,H98
Boston,4.1,West Roxbury,Apartment,3,2,6,Private room,165,"WiFi, Washer, TV, Pets allowed, Free parking, Self check-in, Air conditioning, Dedicated workspace, Hot tub",Host provided great local tips.; Comfortable beds,H99
Boston,4.06,Roslindale,Loft,3,2,5,Shared room,105,"Pets allowed, Air conditioning, Washer, Dryer, Dedicated workspace, Patio, Free parking",Easy check-in process.; Spacious and central; Great value for the price.; Perfect for a weekend getaway; Comfortable beds,H100
Boston,4.67,Bay Village,Apartment,4,3,6,Private room,200,"Gym, Dryer, Pool, TV, Dedicated workspace","Spacious and central; Great host, very responsive; Comfortable beds",H101
Boston,4.2,Dorchester,Loft,2,1,4,Entire place,190,"Pool, Dedicated workspace, Washer, Hot tub, Free parking, Dryer, Self check-in",Quiet street; Felt like a home away from home; Close to public transport; Great value for the price.,H102
Boston,4.47,Fenway-Kenmore,Condo,2,1,4,Private room,105,"Kitchen, Dryer, Self check-in, Air conditioning, Heating, Patio, WiFi",Perfect for a weekend getaway; Easy check-in process.; Felt like a home away from home; Comfortable beds; Clean and tidy,H103
Boston,4.4,East Boston,House,4,3,8,Entire place,365,"Air conditioning, Pool, Kitchen, Free parking, WiFi, Pets allowed, Dryer",Felt like a home away from home; Host provided great local tips.; Quiet street,H104
Boston,4.98,Roslindale,House,5,4,10,Shared room,165,"Hot tub, TV, Patio, Heating, Self check-in, Dryer, Washer","Great host, very responsive; Perfect for a weekend getaway; Clean and tidy; Close to public transport; Stylish and modern apartment.",H105
Boston,3.73,North End,House,4,3,5,Entire place,345,"Free parking, Kitchen, Air conditioning, Gym, WiFi, Patio, Dedicated workspace, Hot tub, Pool",Host provided great local tips.; Would definitely stay again; Stylish and modern apartment.; Easy check-in process.; Close to public transport,H106
Boston,4.93,Hyde Park,Townhouse,2,1,2,Private room,125,"Patio, Pets allowed, Free parking, Gym, Washer, Self check-in",Host provided great local tips.; Clean and tidy; Quiet street; Perfect for a weekend getaway; Easy check-in process.,H107
Boston,4.63,Beacon Hill,Apartment,4,1,7,Private room,195,"Air conditioning, Washer, Hot tub, Pets allowed, Heating, WiFi, Free parking, Dryer",Great value for the price.; Would definitely stay again; Clean and tidy; Close to public transport,H108
Boston,3.51,Fenway-Kenmore,Loft,5,2,10,Private room,215,"Pool, WiFi, Kitchen, Self check-in, Air conditioning, Hot tub, Washer, Dryer, Gym, Pets allowed","Clean and tidy; Would definitely stay again; Great host, very responsive; Felt like a home away from home",H109
Boston,4.15,West Roxbury,Condo,2,1,4,Private room,125,"Air conditioning, Hot tub, TV, Kitchen, Heating, Free parking, Patio, Pool, WiFi",The place was sparkling clean.; Comfortable beds; Great value for the price.; Spacious and central,H110
Boston,4.66,North End,Apartment,1,1,2,Private room,80,"Washer, Pool, WiFi, Heating, Air conditioning",Perfect for a weekend getaway; Felt like a home away from home,H111
Boston,4.67,Dorchester,Loft,2,1,4,Private room,130,"Free parking, Self check-in, WiFi, Air conditioning, Dryer, Pets allowed, Patio, Heating, Gym, Pool",Felt like a home away from home; Would definitely stay again; Host provided great local tips.; Easy check-in process.,H112
Boston,4.06,Roslindale,Townhouse,5,1,7,Private room,215,"Pool, Air conditioning, Patio, Self check-in, Dedicated workspace, Pets allowed, Kitchen, Hot tub",Host provided great local tips.; Amazing view; Would definitely stay again; Close to public transport,H113
Boston,4.29,East Boston,Townhouse,4,1,5,Shared room,125,"Dedicated workspace, Hot tub, Air conditioning, Pets allowed, Gym, TV",Would definitely stay again; Stylish and modern apartment.,H114
Boston,4.89,East Boston,Apartment,3,1,3,Entire place,250,"Gym, Air conditioning, Pool, Self check-in, Dryer, TV, Kitchen, Heating, Pets allowed","Felt like a home away from home; Perfect for a weekend getaway; Spacious and central; Host provided great local tips.; Great host, very responsive",H115
Boston,4.67,West End,Apartment,5,2,7,Shared room,150,"Gym, Heating, WiFi, Self check-in, Hot tub, Dryer, Patio, Washer, TV, Pets allowed",Quiet street; Spacious and central; Great value for the price.; Close to public transport,H116
Boston,4.74,Allston,Townhouse,2,1,4,Shared room,75,"WiFi, Hot tub, Self check-in, TV, Pool, Gym, Kitchen",Amazing view; Spacious and central,H117
Boston,3.56,South End,Apartment,2,1,2,Entire place,185,"Patio, Heating, Pool, Washer, Air conditioning, Kitchen, Gym, Hot tub",Amazing view; Would definitely stay again; Stylish and modern apartment.; Felt like a home away from home,H118
Boston,4.64,Mission Hill,House,5,3,10,Shared room,170,"WiFi, Free parking, Patio, Hot tub, Pets allowed, TV",Amazing view; Perfect for a weekend getaway,H119
Boston,4.59,Chinatown,Loft,5,3,10,Shared room,155,"Pets allowed, Gym, Hot tub, Patio, Air conditioning, Kitchen, TV, Free parking",Host provided great local tips.; Great value for the price.; Stylish and modern apartment.; Easy check-in process.; Comfortable beds,H120
Boston,4.99,West Roxbury,Condo,2,1,4,Entire place,205,"Kitchen, TV, Dryer, Heating, Patio, Air conditioning, Self check-in, Dedicated workspace, WiFi",Spacious and central; Clean and tidy,H121
Boston,4.27,Hyde Park,House,4,2,7,Private room,210,"Patio, Dryer, Self check-in, Free parking, Gym, Pool, WiFi",The place was sparkling clean.; Close to public transport; Quiet street,H122
Boston,4.52,Bay Village,Apartment,4,2,4,Shared room,115,"Patio, Washer, Air conditioning, WiFi, Gym, Heating, Kitchen, TV, Hot tub, Dryer",Quiet street; Host provided great local tips.; Easy check-in process.,H123
Boston,4.94,South End,Apartment,1,1,2,Shared room,75,"Dedicated workspace, TV, WiFi, Free parking, Washer, Kitchen",Easy check-in process.; Comfortable beds,H124
Boston,4.36,Bay Village,Apartment,3,1,3,Entire place,270,"Self check-in, Kitchen, Dedicated workspace, Pets allowed",The place was sparkling clean.; Would definitely stay again; Host provided great local tips.,H125
Boston,4.3,Bay Village,Loft,5,3,8,Private room,260,"Pets allowed, WiFi, Kitchen, Heating, Dedicated workspace, Dryer, Patio",Amazing view; The place was sparkling clean.; Stylish and modern apartment.; Easy check-in process.; Clean and tidy,H126
Boston,4.17,Downtown,Loft,5,3,9,Private room,260,"Self check-in, Hot tub, Washer, Heating",Close to public transport; Comfortable beds; Great value for the price.; Stylish and modern apartment.; Clean and tidy,H127
Boston,4.33,Jamaica Plain,Townhouse,1,1,1,Entire place,155,"Dryer, WiFi, Gym, Pets allowed, TV, Free parking, Self check-in",The place was sparkling clean.; Amazing view; Comfortable beds; Great value for the price.,H128
Boston,3.68,Bay Village,Townhouse,4,1,6,Entire place,305,"WiFi, Pets allowed, Dedicated workspace, Gym, TV, Dryer, Self check-in, Pool, Heating, Free parking",Close to public transport; Quiet street; The place was sparkling clean.; Clean and tidy,H129
Boston,4.29,North End,House,4,1,5,Shared room,135,"Self check-in, Air conditioning, Gym, Hot tub, Heating, Kitchen, TV, Free parking",Easy check-in process.; Perfect for a weekend getaway,H130
Boston,3.67,North End,Apartment,2,1,4,Shared room,100,"WiFi, Free parking, TV, Self check-in, Washer, Kitchen, Dedicated workspace, Pool, Hot tub",Comfortable beds; Great value for the price.; Stylish and modern apartment.; Quiet street,H131
Boston,3.57,Downtown,House,1,1,2,Shared room,60,"Self check-in, WiFi, Patio, Gym",Amazing view; The place was sparkling clean.; Stylish and modern apartment.; Host provided great local tips.; Easy check-in process.,H132
Boston,3.75,Fenway-Kenmore,Condo,4,1,6,Private room,165,"TV, Free parking, Pets allowed, Pool, Heating, Gym, WiFi, Patio, Washer","Great host, very responsive; Host provided great local tips.",H133
Boston,4.5,South End,House,1,1,1,Shared room,45,"Hot tub, Dryer, Kitchen, Air conditioning, Pets allowed, Free parking, Washer, Pool, Self check-in, WiFi",Comfortable beds; Quiet street; Perfect for a weekend getaway,H134
